ART AND DESIGN,64
AUTO AND VEHICLES,85
BEAUTY,53
BOOKS AND REFERENCE,222
BUSINESS,419
COMICS,55
COMMUNICATION,314
DATING,170
EDUCATION,118
ENTERTAINMENT,101
EVENTS,64
FAMILY,1818
FOOD AND DRINK,111
GAME,952
HEALTH AND FITNESS,287
HOUSE AND HOME,74
LIBRARIES AND DEO,84
LIFESTYLE,369
MAPS AND NAVIGATION,131
MEDICAL,394
NEWS AND MAGAZINES,254
OFFICE,333
OFOFFICE,7
PARENTING,59
PERSONALIZATION,375
PHOTOGRAPHY,279
PRODUCTIVITY,374
SHOPPING,202
SOCIAL,237
SPORTS,325
TOOLS,821
TRAVEL AND LOCAL,219
VIDEO_PLAYERS,162
WEATHER,79
