Category,Apps,Installs
GAME,Subway_Surfers,1000000000
GAME,y_Talking_To,500000000
GAME,Teple_Run_2,500000000
GAME,Candy_Crush_Saga,500000000
GAME,Pou,500000000
GAME,Baa_Kong,100000000
GAME,Angry_Birds_Rio,100000000
GAME,Asphalt_8:_Airborne,100000000
GAME,Dr._Driving,100000000
GAME,Ant_Sasher_by_Best_Cool_&_Fun_Gaes,100000000
GAME,Cut_the_Rope_FULL_FREE,100000000
GAME,Drea_League_Soccer_2018,100000000
GAME,Clash_of_Clans,100000000
GAME,Zobie_Tsunai,100000000
GAME,Agar.io,100000000
GAME,Angry_Birds_Star_Wars,100000000
GAME,Cooking_Fever,100000000
GAME,Crossy_Road,100000000
GAME,Yes_day,100000000
GAME,Vector,100000000
